A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,1750,400,0.08162
401,1860,401,0.08077
402,1670,402,0.08032
403,1480,403,0.08004
404,2010,404,0.08013
405,1830,405,0.08034
406,1750,406,0.08033
407,2210,407,0.08064
408,2030,408,0.08106
409,2060,409,0.08128
410,2210,410,0.08123
411,2020,411,0.08161
412,2550,412,0.08184
413,2060,413,0.0812
414,2380,414,0.08035
415,2460,415,0.08002
416,2700,416,0.07989
417,2660,417,0.07993
418,2730,418,0.08091
419,3060,419,0.08394
420,2770,420,0.08375
421,3210,421,0.08129
422,3230,422,0.07993
423,3200,423,0.07938
424,3120,424,0.07905
425,3120,425,0.0789
426,3350,426,0.07857
427,3740,427,0.07844
428,3650,428,0.07811
429,3850,429,0.07789
430,3890,430,0.07758
431,4160,431,0.07732
432,3950,432,0.07714
433,4270,433,0.07718
434,4670,434,0.07697
435,4560,435,0.07699
436,5110,436,0.07713
437,5020,437,0.07789
438,5240,438,0.07965
439,5600,439,0.08028
440,5750,440,0.07806
441,5600,441,0.07717
442,5850,442,0.0772
443,6000,443,0.07664
444,6380,444,0.0761
445,6750,445,0.07584
446,6580,446,0.07515
447,7380,447,0.07469
448,6450,448,0.07518
449,8010,449,0.08255
450,9200,450,0.0927
451,8420,451,0.08152
452,9080,452,0.08429
453,8470,453,0.07736
454,8370,454,0.07588
455,8970,455,0.07653
456,9490,456,0.07861
457,9930,457,0.08126
458,10530,458,0.08052
459,9930,459,0.07761
460,10630,460,0.07848
461,11750,461,0.083
462,12230,462,0.08772
463,11660,463,0.08439
464,11050,464,0.07925
465,11610,465,0.07966
466,13350,466,0.09048
467,15650,467,0.10346
468,14800,468,0.09632
469,13410,469,0.08657
470,12830,470,0.07975
471,11710,471,0.07407
472,12840,472,0.07752
473,14340,473,0.08751
474,13250,474,0.074
475,11370,475,0.066
476,11200,476,0.06365
477,10790,477,0.06228
478,10970,478,0.06191
479,10830,479,0.06287
480,12190,480,0.06721
481,13100,481,0.07201
482,12580,482,0.07009
483,12430,483,0.06933
484,12180,484,0.06685
485,12300,485,0.06345
486,11520,486,0.06097
487,11160,487,0.05952
488,11030,488,0.05912
489,11040,489,0.05902
490,10850,490,0.05891
491,10850,491,0.06173
492,11730,492,0.0681
493,11190,493,0.06706
494,10660,494,0.06217
495,9670,495,0.05895
496,8690,496,0.05724
497,8270,497,0.05626
498,7530,498,0.05569
499,7060,499,0.05516
500,6420,500,0.05488
