A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,1790,400,0.08088
401,1700,401,0.08003
402,1710,402,0.07965
403,1640,403,0.07941
404,1770,404,0.07944
405,1910,405,0.07961
406,1920,406,0.07962
407,2120,407,0.07989
408,2020,408,0.08022
409,1800,409,0.08032
410,2220,410,0.0804
411,2300,411,0.08082
412,2400,412,0.08109
413,2420,413,0.08027
414,2410,414,0.07955
415,2790,415,0.07938
416,2620,416,0.07903
417,2600,417,0.07924
418,2940,418,0.08037
419,3130,419,0.0834
420,3050,420,0.08281
421,3100,421,0.08036
422,3020,422,0.07915
423,3120,423,0.07864
424,3510,424,0.07829
425,3360,425,0.07809
426,3440,426,0.0778
427,3940,427,0.0775
428,3690,428,0.07745
429,4270,429,0.0771
430,4050,430,0.07686
431,4280,431,0.07666
432,4670,432,0.07646
433,4400,433,0.07636
434,4830,434,0.07635
435,4630,435,0.07625
436,5360,436,0.07647
437,5290,437,0.07719
438,5910,438,0.07894
439,5980,439,0.07928
440,5700,440,0.07723
441,6270,441,0.07641
442,5820,442,0.07646
443,5800,443,0.07594
444,6590,444,0.07536
445,6350,445,0.07508
446,6600,446,0.07442
447,7050,447,0.07396
448,7660,448,0.07444
449,8790,449,0.08211
450,9880,450,0.09169
451,9440,451,0.08066
452,8940,452,0.08352
453,9250,453,0.07652
454,9150,454,0.07513
455,9930,455,0.07585
456,10300,456,0.07788
457,10750,457,0.08055
458,10470,458,0.07976
459,10450,459,0.0768
460,10980,460,0.07791
461,12190,461,0.08235
462,12420,462,0.08677
463,12090,463,0.083
464,11770,464,0.07825
465,11690,465,0.07905
466,13450,466,0.0905
467,15710,467,0.10256
468,14400,468,0.09451
469,13570,469,0.08528
470,12540,470,0.07874
471,12720,471,0.07315
472,13570,472,0.07703
473,14490,473,0.08669
474,12730,474,0.07273
475,10880,475,0.06515
476,10620,476,0.06307
477,11200,477,0.06164
478,10520,478,0.06135
479,11470,479,0.06244
480,12270,480,0.06702
481,12560,481,0.07133
482,12990,482,0.06904
483,13280,483,0.06867
484,13030,484,0.06589
485,11940,485,0.06275
486,11840,486,0.06027
487,11140,487,0.05888
488,10580,488,0.05843
489,11260,489,0.05843
490,9990,490,0.05831
491,10560,491,0.06154
492,11930,492,0.06767
493,11470,493,0.06619
494,10140,494,0.06132
495,9220,495,0.05835
496,8410,496,0.05664
497,8090,497,0.05569
498,7590,498,0.05517
499,7010,499,0.05465
500,6160,500,0.05435
501,5820,501,0.05414
502,5440,502,0.05426
503,4340,503,0.05446
504,4600,504,0.0539
505,4280,505,0.05332
506,3600,506,0.05292
507,3210,507,0.05265
508,4590,508,0.05239
509,33770,509,0.05213
510,65880,510,0.05203
511,25540,511,0.05185
512,2110,512,0.05198
513,1260,513,0.05171
514,1320,514,0.0513
515,1000,515,0.05097
516,820,516,0.05077
517,880,517,0.0505
518,580,518,0.05033
519,560,519,0.05015
520,690,520,0.04985
521,450,521,0.04958
522,390,522,0.04934
523,410,523,0.04901
524,240,524,0.04876
525,330,525,0.04852
526,220,526,0.04816
527,320,527,0.04794
528,370,528,0.04785
529,240,529,0.04767
530,340,530,0.04713
531,330,531,0.04684
532,290,532,0.04653
533,290,533,0.04645
534,300,534,0.04613
535,390,535,0.04585
536,310,536,0.04549
537,320,537,0.04527
538,390,538,0.04474
539,210,539,0.04456
540,340,540,0.04444
541,350,541,0.0444
542,340,542,0.04425
543,260,543,0.0439
544,280,544,0.04361
545,280,545,0.04329
546,450,546,0.04303
547,200,547,0.04275
548,260,548,0.04245
549,300,549,0.04206
550,230,550,0.04189
551,330,551,0.04158
552,430,552,0.04131
553,400,553,0.0412
554,310,554,0.04072
555,310,555,0.04045
556,390,556,0.04009
557,290,557,0.039911
558,370,558,0.0396
559,350,559,0.039297
560,330,560,0.038959
561,280,561,0.038697
562,280,562,0.03831
563,250,563,0.038036
564,290,564,0.037766
565,340,565,0.037495
566,350,566,0.037282
567,300,567,0.03706
568,180,568,0.036856
569,280,569,0.036675
570,340,570,0.036378
571,230,571,0.03606
572,340,572,0.035744
573,410,573,0.035521
574,360,574,0.035234
575,320,575,0.035041
576,440,576,0.034794
577,300,577,0.034513
578,340,578,0.034347
579,430,579,0.03408
580,260,580,0.033849
581,280,581,0.033641
582,310,582,0.033427
583,310,583,0.033306
584,390,584,0.03307
585,430,585,0.032818
586,310,586,0.032528
587,270,587,0.032229
588,320,588,0.031967
589,290,589,0.031603
590,390,590,0.031289
591,260,591,0.030932
592,210,592,0.030551
593,260,593,0.030184
594,350,594,0.029773
595,210,595,0.029442
596,330,596,0.029092
597,390,597,0.028747
598,330,598,0.0284
599,210,599,0.028068
600,260,600,0.027753
