A,S1
Wavelength,S1
nm,CPS
500,4880
501,5370
502,5560
503,5490
504,5910
505,5820
506,5780
507,6030
508,6300
509,6320
510,6110
511,6120
512,5840
513,6020
514,5490
515,5270
516,4760
517,4640
518,4400
519,4110
520,4070
521,3870
522,3750
523,3190
524,3500
525,2690
526,2610
527,3120
528,2830
529,2780
530,2540
531,2480
532,2450
533,2590
534,2600
535,2190
536,2280
537,2150
538,2110
539,1930
540,2060
541,2000
542,2010
543,1950
544,1650
545,1640
546,1620
547,1760
548,1660
549,1510
550,1410
551,1220
552,1200
553,1270
554,1150
555,1200
556,1190
557,1070
558,1250
559,1110
560,790
561,860
562,970
563,870
564,890
565,610
566,880
567,720
568,740
569,660
570,780
571,680
572,650
573,620
574,510
575,570
576,650
577,680
578,540
579,630
580,490
581,530
582,660
583,450
584,470
585,560
586,590
587,490
588,380
589,500
590,590
591,280
592,530
593,480
594,420
595,320
596,550
597,420
598,550
599,510
600,450
