A,S1
Wavelength,S1
nm,CPS
500,9150
501,10220
502,10530
503,11390
504,11530
505,11870
506,11950
507,11780
508,11750
509,12410
510,11830
511,11780
512,11180
513,10410
514,10220
515,9820
516,9490
517,9170
518,8120
519,7850
520,7560
521,6820
522,6560
523,6440
524,5560
525,5750
526,5640
527,5110
528,4880
529,4120
530,4720
531,4760
532,4820
533,4000
534,4220
535,4160
536,4150
537,4110
538,3750
539,3250
540,3510
541,3400
542,3290
543,3100
544,3280
545,3220
546,3260
547,2560
548,2540
549,2800
550,2620
551,2540
552,2330
553,2090
554,2020
555,1960
556,2030
557,1680
558,1670
559,1620
560,1380
561,1630
562,1380
563,1290
564,1270
565,1280
566,1210
567,1030
568,930
569,1210
570,1050
571,1030
572,940
573,920
574,920
575,790
576,860
577,850
578,800
579,770
580,710
581,810
582,750
583,680
584,710
585,800
586,720
587,760
588,650
589,460
590,520
591,600
592,590
593,550
594,430
595,460
596,400
597,410
598,470
599,480
600,500
