A,S1,B,R1
608,370,608,0.025743
609,350,609,0.0256
610,330,610,0.025383
611,280,611,0.025252
612,220,612,0.025083
613,360,613,0.024951
614,250,614,0.024777
615,320,615,0.024602
616,340,616,0.024409
617,400,617,0.02426
618,260,618,0.024084
619,370,619,0.023856
620,250,620,0.023584
621,350,621,0.023273
622,290,622,0.022895
623,370,623,0.022522
624,400,624,0.022136
625,270,625,0.021817
626,350,626,0.021503
627,280,627,0.021185
628,300,628,0.020913
629,370,629,0.020701
630,260,630,0.020471
631,260,631,0.020186
632,310,632,0.01985
633,270,633,0.019508
634,300,634,0.019116
635,330,635,0.018749
636,280,636,0.018401
637,250,637,0.018033
638,350,638,0.017717
639,360,639,0.017364
640,280,640,0.017075
641,230,641,0.016755
642,260,642,0.016445
643,420,643,0.01619
644,210,644,0.015893
645,330,645,0.015577
646,350,646,0.015121
647,350,647,0.0145
648,260,648,0.01386
649,320,649,0.013428
650,330,650,0.013096
651,300,651,0.012695
652,360,652,0.012437
653,350,653,0.012324
654,410,654,0.012264
655,330,655,0.012284
656,290,656,0.012343
657,340,657,0.012401
658,240,658,0.012524
659,310,659,0.012656
660,290,660,0.012832
661,380,661,0.013009
662,340,662,0.01323
663,400,663,0.013466
664,310,664,0.013699
665,290,665,0.013969
666,220,666,0.014221
667,330,667,0.014365
668,220,668,0.014506
669,340,669,0.014615
670,360,670,0.014759
671,320,671,0.014933
672,260,672,0.015072
673,240,673,0.015233
674,290,674,0.015278
675,280,675,0.015306
676,210,676,0.015269
677,330,677,0.015281
678,380,678,0.015327
679,270,679,0.015449
680,310,680,0.015805
681,410,681,0.016709
682,340,682,0.017951
683,350,683,0.017697
684,330,684,0.017153
685,390,685,0.016976
686,240,686,0.017075
687,390,687,0.017342
688,280,688,0.017506
689,250,689,0.017223
690,310,690,0.016653
691,320,691,0.016032
692,300,692,0.015507
693,340,693,0.015079
694,310,694,0.01476
695,310,695,0.014434
696,250,696,0.014214
697,300,697,0.014152
698,350,698,0.014062
699,390,699,0.013903
700,320,700,0.013698
