A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,2160,400,0.0808
401,2380,401,0.08006
402,2170,402,0.0795
403,2150,403,0.07944
404,2100,404,0.07936
405,2540,405,0.07961
406,2290,406,0.07966
407,2340,407,0.07986
408,2230,408,0.08032
409,2270,409,0.08033
410,2680,410,0.08034
411,2370,411,0.08073
412,2710,412,0.081
413,2460,413,0.08032
414,2520,414,0.0796
415,2390,415,0.07924
416,2580,416,0.07901
417,2760,417,0.07908
418,2530,418,0.08012
419,2860,419,0.08304
420,2840,420,0.08284
421,3150,421,0.08053
422,2970,422,0.07918
423,3140,423,0.07865
424,3060,424,0.0785
425,3020,425,0.07818
426,2930,426,0.07784
427,3350,427,0.07764
428,3160,428,0.07734
429,3660,429,0.0771
430,3700,430,0.07686
431,3620,431,0.07657
432,3440,432,0.07636
433,3580,433,0.07637
434,4030,434,0.07618
435,3890,435,0.07619
436,3910,436,0.07641
437,4320,437,0.07712
438,4510,438,0.07882
439,4690,439,0.07939
440,4610,440,0.07725
441,5080,441,0.07652
442,4810,442,0.07648
443,4890,443,0.07599
444,5230,444,0.07546
445,5250,445,0.0751
446,5620,446,0.07452
447,6000,447,0.07395
448,6250,448,0.07437
449,6640,449,0.08165
450,7940,450,0.09171
451,7370,451,0.08076
452,7950,452,0.08343
453,6990,453,0.07661
454,7420,454,0.07509
455,7520,455,0.0758
456,7600,456,0.0778
457,8660,457,0.08054
458,9460,458,0.0797
459,8920,459,0.07676
460,9090,460,0.07775
461,9760,461,0.082
462,10700,462,0.0868
463,10200,463,0.08335
464,9830,464,0.07841
465,9870,465,0.07871
466,11210,466,0.0897
467,13780,467,0.10244
468,12340,468,0.09507
469,11670,469,0.08576
470,10690,470,0.07906
471,10400,471,0.07342
472,10840,472,0.07627
473,12310,473,0.08659
474,11170,474,0.07432
475,9480,475,0.06559
476,10390,476,0.06337
477,9340,477,0.06177
478,9800,478,0.06139
479,9450,479,0.06226
480,10180,480,0.06661
481,11820,481,0.07133
482,11830,482,0.06931
483,10880,483,0.06873
484,10350,484,0.06617
485,10920,485,0.06304
486,10060,486,0.06038
487,10140,487,0.059
488,8840,488,0.05862
489,10080,489,0.05851
490,9740,490,0.05839
491,9750,491,0.06127
492,10870,492,0.06739
493,9820,493,0.0665
494,9790,494,0.06168
495,8500,495,0.05843
496,8300,496,0.05673
497,7540,497,0.05575
498,7740,498,0.05513
499,6970,499,0.05477
500,6800,500,0.05436
501,5960,501,0.05414
502,5420,502,0.05424
503,5230,503,0.05451
504,5200,504,0.05385
505,4610,505,0.0534
506,3610,506,0.05293
507,3740,507,0.05261
508,9800,508,0.05241
509,91090,509,0.05215
510,140800,510,0.05189
511,42440,511,0.05181
512,2400,512,0.05201
513,1590,513,0.05176
514,1260,514,0.05134
515,1080,515,0.05103
516,920,516,0.05076
517,950,517,0.05051
518,650,518,0.05038
519,740,519,0.05014
520,490,520,0.04979
521,570,521,0.04952
522,530,522,0.04928
523,360,523,0.04895
524,470,524,0.04875
525,320,525,0.04843
526,410,526,0.0482
527,430,527,0.04797
528,340,528,0.04781
529,420,529,0.04771
530,400,530,0.04718
531,220,531,0.04687
532,300,532,0.04659
533,520,533,0.04646
534,320,534,0.0462
535,310,535,0.04575
536,340,536,0.04554
537,370,537,0.04522
538,290,538,0.04474
539,310,539,0.04456
540,310,540,0.0445
541,370,541,0.0444
542,310,542,0.0443
543,370,543,0.04393
544,280,544,0.04367
545,220,545,0.04333
546,260,546,0.04314
547,310,547,0.0428
548,350,548,0.04252
549,390,549,0.04216
550,300,550,0.04187
551,330,551,0.04164
552,290,552,0.04142
553,220,553,0.04115
554,280,554,0.04078
555,210,555,0.04042
556,280,556,0.04008
557,360,557,0.039934
558,300,558,0.039618
559,290,559,0.039319
560,380,560,0.039
561,280,561,0.038707
562,390,562,0.038391
563,270,563,0.038035
564,260,564,0.037764
565,320,565,0.037551
566,330,566,0.037312
567,220,567,0.03709
568,300,568,0.036926
569,300,569,0.036662
570,390,570,0.036384
571,290,571,0.036073
572,330,572,0.035736
573,410,573,0.035489
574,290,574,0.035245
575,280,575,0.034963
576,310,576,0.034755
577,350,577,0.034503
578,310,578,0.034295
579,310,579,0.034006
580,220,580,0.03383
581,260,581,0.033597
582,300,582,0.033413
583,310,583,0.033253
584,300,584,0.03303
585,300,585,0.032763
586,410,586,0.032498
587,300,587,0.032207
588,410,588,0.031929
589,290,589,0.031602
590,260,590,0.031282
591,330,591,0.030942
592,330,592,0.030542
593,350,593,0.03016
594,300,594,0.029768
595,250,595,0.029472
596,240,596,0.029043
597,320,597,0.028777
598,340,598,0.028403
599,240,599,0.028066
600,300,600,0.02775
601,250,601,0.027458
602,420,602,0.027207
603,390,603,0.026906
604,270,604,0.026672
605,310,605,0.026441
606,370,606,0.026176
607,270,607,0.025928
