A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,1390,400,0.08112
401,1220,401,0.08029
402,1570,402,0.07987
403,1540,403,0.07969
404,1670,404,0.07975
405,1530,405,0.07992
406,1670,406,0.07996
407,1630,407,0.08022
408,1640,408,0.08068
409,1710,409,0.08064
410,1860,410,0.08073
411,1700,411,0.08111
412,1940,412,0.08135
413,1700,413,0.08058
414,2060,414,0.08001
415,1870,415,0.0795
416,2210,416,0.07949
417,1850,417,0.07942
418,2210,418,0.08057
419,2340,419,0.08341
420,2260,420,0.0832
421,2550,421,0.08071
422,2430,422,0.07949
423,2350,423,0.07893
424,2660,424,0.07863
425,2870,425,0.07848
426,2610,426,0.07815
427,2950,427,0.07794
428,3130,428,0.07764
429,2930,429,0.07743
430,2860,430,0.07707
431,3350,431,0.07697
432,3270,432,0.07679
433,3280,433,0.07671
434,3450,434,0.07664
435,3820,435,0.07652
436,3510,436,0.07679
437,4120,437,0.07748
438,4040,438,0.07927
439,4170,439,0.0797
440,4740,440,0.07761
441,4830,441,0.0768
442,4200,442,0.07672
443,4740,443,0.07618
444,5020,444,0.07554
445,5000,445,0.07532
446,5180,446,0.07468
447,5490,447,0.07418
448,5550,448,0.07484
449,6130,449,0.08278
450,7200,450,0.09187
451,6790,451,0.08105
452,6950,452,0.08382
453,6670,453,0.07662
454,6690,454,0.07553
455,7270,455,0.07616
456,7020,456,0.07832
457,7940,457,0.08087
458,7520,458,0.07995
459,7440,459,0.07705
460,8180,460,0.0781
461,8430,461,0.08243
462,9550,462,0.0871
463,8990,463,0.08346
464,8700,464,0.07844
465,8600,465,0.07925
466,9830,466,0.09033
467,11690,467,0.10296
468,11160,468,0.09501
469,10370,469,0.0858
470,9150,470,0.07908
471,8610,471,0.07352
472,9120,472,0.0775
473,10560,473,0.08693
474,8840,474,0.07363
475,8300,475,0.06546
476,8330,476,0.06336
477,8270,477,0.06201
478,8530,478,0.06147
479,7930,479,0.06266
480,9290,480,0.0672
481,9840,481,0.07158
482,9960,482,0.06956
483,9370,483,0.06887
484,8950,484,0.06637
485,8140,485,0.06303
486,8110,486,0.06051
487,7530,487,0.05908
488,7990,488,0.05877
489,7830,489,0.05874
490,8230,490,0.05853
491,8230,491,0.06192
492,8710,492,0.06785
493,8410,493,0.06643
494,7880,494,0.06149
495,7110,495,0.05858
496,6380,496,0.05689
497,6430,497,0.05592
498,5280,498,0.05543
499,5260,499,0.0549
500,4970,500,0.05457
501,4340,501,0.0544
502,3870,502,0.05448
503,4020,503,0.0547
504,3390,504,0.05417
505,3320,505,0.05355
506,2960,506,0.0532
507,2520,507,0.05295
508,5230,508,0.05276
509,46390,509,0.05246
510,91900,510,0.05236
511,33000,511,0.05215
512,1750,512,0.0523
513,990,513,0.05203
514,810,514,0.05165
515,770,515,0.05129
516,770,516,0.05109
517,600,517,0.05093
518,730,518,0.05069
519,520,519,0.05052
520,550,520,0.05013
521,410,521,0.04991
522,490,522,0.04963
523,410,523,0.04938
524,460,524,0.0491
525,420,525,0.04881
526,380,526,0.04856
527,350,527,0.0483
528,390,528,0.04829
529,340,529,0.04801
530,330,530,0.04746
531,290,531,0.04716
532,290,532,0.04686
533,270,533,0.04672
534,330,534,0.04649
535,350,535,0.0461
536,350,536,0.04588
537,320,537,0.04553
538,290,538,0.04504
539,230,539,0.04488
540,280,540,0.04477
541,200,541,0.04468
542,320,542,0.0446
543,250,543,0.04423
544,430,544,0.04394
545,380,545,0.04364
546,290,546,0.04335
547,430,547,0.04307
548,340,548,0.04276
549,230,549,0.04241
550,380,550,0.04212
551,240,551,0.04182
552,260,552,0.04172
553,290,553,0.04139
554,240,554,0.041
555,240,555,0.04065
556,370,556,0.04031
557,280,557,0.04007
558,380,558,0.039886
559,270,559,0.039554
560,330,560,0.039289
561,320,561,0.038966
562,400,562,0.038649
563,390,563,0.038358
564,420,564,0.038029
565,350,565,0.037816
566,300,566,0.037565
567,380,567,0.037319
568,310,568,0.03716
569,330,569,0.036939
570,290,570,0.036607
571,430,571,0.036334
572,360,572,0.035991
573,400,573,0.035694
574,290,574,0.035536
575,330,575,0.03521
576,300,576,0.035039
577,270,577,0.034716
578,240,578,0.034496
579,360,579,0.034335
580,250,580,0.034042
581,250,581,0.033876
582,400,582,0.033663
583,240,583,0.033494
584,340,584,0.033246
585,410,585,0.033065
586,290,586,0.032738
587,320,587,0.032488
588,250,588,0.032198
589,280,589,0.03184
590,290,590,0.031509
591,390,591,0.031172
592,310,592,0.030742
593,290,593,0.030375
594,360,594,0.02997
595,170,595,0.029607
596,270,596,0.029265
597,330,597,0.028923
598,250,598,0.028536
599,320,599,0.028248
600,330,600,0.027956
