A,S1
Wavelength,S1
nm,CPS
500,4310
501,4550
502,4840
503,5150
504,5170
505,6150
506,5730
507,6110
508,6200
509,5830
510,6080
511,6010
512,5580
513,5700
514,5320
515,5140
516,5380
517,4450
518,4500
519,4120
520,4240
521,3800
522,3420
523,3540
524,3420
525,3170
526,3000
527,2620
528,2620
529,2490
530,2430
531,2300
532,2310
533,2400
534,2120
535,2230
536,1890
537,2100
538,2020
539,2000
540,1830
541,1710
542,1690
543,1650
544,1730
545,1430
546,1480
547,1580
548,1250
549,1340
550,1250
551,1330
552,1270
553,1350
554,1100
555,1080
556,1010
557,1130
558,890
559,1150
560,850
561,910
562,980
563,740
564,730
565,900
566,730
567,870
568,620
569,600
570,750
571,560
572,670
573,680
574,510
575,600
576,570
577,490
578,490
579,580
580,500
581,510
582,660
583,450
584,360
585,520
586,500
587,440
588,450
589,630
590,450
591,470
592,510
593,340
594,240
595,420
596,220
597,460
598,400
599,470
600,370
