A,S1
Wavelength,S1
nm,CPS
500,7070
501,7790
502,7590
503,8170
504,8770
505,8410
506,8900
507,8860
508,8720
509,9020
510,8600
511,8870
512,8640
513,8020
514,8280
515,7740
516,6810
517,6820
518,6400
519,6070
520,5740
521,5450
522,5320
523,4800
524,4540
525,4240
526,4110
527,4150
528,3870
529,3950
530,3540
531,3310
532,3490
533,3230
534,3230
535,2960
536,2870
537,2910
538,2800
539,2600
540,2530
541,2760
542,2900
543,2700
544,2520
545,2230
546,2310
547,2240
548,2210
549,1880
550,1830
551,2180
552,1810
553,1680
554,1550
555,1910
556,1470
557,1290
558,1390
559,1170
560,1370
561,1240
562,1180
563,1220
564,1230
565,1040
566,1080
567,950
568,970
569,1020
570,760
571,860
572,910
573,870
574,690
575,680
576,780
577,860
578,660
579,610
580,780
581,560
582,580
583,560
584,490
585,590
586,570
587,690
588,670
589,570
590,500
591,460
592,480
593,380
594,470
595,500
596,330
597,480
598,550
599,510
600,350
