A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
494,380,494,0.0591
495,320,495,0.05618
496,300,496,0.05439
497,370,497,0.0535
498,340,498,0.05294
499,320,499,0.05256
500,210,500,0.05221
501,350,501,0.05201
502,240,502,0.05216
503,320,503,0.05235
504,250,504,0.05184
505,430,505,0.05127
506,290,506,0.05086
507,250,507,0.05062
508,330,508,0.05037
509,390,509,0.0502
510,290,510,0.04999
511,320,511,0.04995
512,310,512,0.05
513,260,513,0.04984
514,350,514,0.04944
515,340,515,0.049
516,400,516,0.04881
517,510,517,0.04862
518,350,518,0.04852
519,420,519,0.04826
520,290,520,0.04801
521,330,521,0.04771
522,330,522,0.04746
523,250,523,0.04725
524,310,524,0.04695
525,350,525,0.04673
526,320,526,0.04653
527,280,527,0.04617
528,310,528,0.0461
529,400,529,0.04597
530,300,530,0.04545
531,350,531,0.04509
532,300,532,0.04488
533,350,533,0.04468
534,350,534,0.04455
535,280,535,0.04418
536,240,536,0.0439
537,370,537,0.04358
538,390,538,0.0432
539,400,539,0.04299
540,300,540,0.04285
541,360,541,0.04282
542,210,542,0.04271
543,350,543,0.04233
544,210,544,0.04204
545,300,545,0.04182
546,290,546,0.04151
547,290,547,0.04128
548,290,548,0.04092
549,330,549,0.04062
550,300,550,0.04032
551,300,551,0.04012
552,310,552,0.04007
553,290,553,0.039823
554,330,554,0.039428
555,260,555,0.039155
556,290,556,0.038818
557,260,557,0.038488
558,350,558,0.038262
559,290,559,0.037856
560,250,560,0.037623
561,230,561,0.03729
562,350,562,0.037019
563,430,563,0.036683
564,230,564,0.036406
565,340,565,0.036177
566,260,566,0.035949
567,260,567,0.035714
568,310,568,0.035599
569,240,569,0.035419
570,350,570,0.035111
571,230,571,0.034789
572,200,572,0.034523
573,310,573,0.034284
574,320,574,0.034039
575,270,575,0.033822
576,230,576,0.033581
577,280,577,0.033358
578,300,578,0.033111
579,220,579,0.032879
580,220,580,0.03266
581,260,581,0.03246
582,290,582,0.032264
583,320,583,0.032099
584,250,584,0.031923
585,310,585,0.031668
586,160,586,0.031413
587,320,587,0.031126
588,340,588,0.030857
589,290,589,0.030529
590,260,590,0.030194
591,320,591,0.029862
592,330,592,0.029502
593,390,593,0.029115
594,300,594,0.028764
595,140,595,0.028433
596,290,596,0.028063
597,350,597,0.027711
598,370,598,0.027422
599,350,599,0.027088
600,370,600,0.02676
