A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,1830,400,0.08189
401,2250,401,0.08118
402,1770,402,0.08061
403,2270,403,0.08051
404,2000,404,0.08047
405,2030,405,0.08072
406,2100,406,0.0807
407,2060,407,0.08095
408,2280,408,0.0814
409,2220,409,0.08143
410,2390,410,0.08151
411,2560,411,0.08173
412,2470,412,0.08223
413,2670,413,0.0815
414,2580,414,0.08084
415,2610,415,0.08039
416,2820,416,0.0802
417,3020,417,0.08021
418,3340,418,0.08115
419,3260,419,0.08424
420,3440,420,0.08416
421,3170,421,0.08177
422,3560,422,0.08028
423,3500,423,0.07978
424,4090,424,0.07951
425,3720,425,0.07923
426,3830,426,0.07895
427,4160,427,0.07862
428,4080,428,0.07835
429,3790,429,0.07816
430,4410,430,0.07782
431,4390,431,0.07768
432,4560,432,0.07751
433,4680,433,0.07742
434,4820,434,0.07733
435,5120,435,0.07716
436,5100,436,0.07743
437,5360,437,0.07813
438,5940,438,0.07988
439,6030,439,0.08057
440,6070,440,0.07841
441,6550,441,0.07761
442,6450,442,0.07745
443,6270,443,0.07701
444,7230,444,0.07633
445,6740,445,0.07613
446,7210,446,0.07545
447,7880,447,0.07501
448,8370,448,0.0754
449,8460,449,0.08225
450,10030,450,0.09314
451,8940,451,0.08192
452,10230,452,0.08464
453,9390,453,0.07783
454,9530,454,0.07616
455,9380,455,0.0768
456,10860,456,0.07876
457,10710,457,0.08167
458,10720,458,0.08092
459,11170,459,0.07794
460,11600,460,0.07875
461,11940,461,0.08304
462,13260,462,0.08792
463,13210,463,0.08449
464,12700,464,0.07939
465,13050,465,0.07993
466,13910,466,0.09071
467,16440,467,0.1039
468,16170,468,0.09652
469,14810,469,0.08675
470,13850,470,0.0801
471,12880,471,0.07437
472,13050,472,0.07772
473,15680,473,0.08769
474,13250,474,0.07448
475,12120,475,0.06627
476,12160,476,0.06392
477,12070,477,0.06255
478,11830,478,0.06213
479,12400,479,0.0631
480,13180,480,0.0675
481,13140,481,0.07219
482,13790,482,0.07025
483,13560,483,0.06963
484,13620,484,0.06711
485,12700,485,0.06386
486,12590,486,0.06119
487,11380,487,0.0597
488,11700,488,0.05934
489,11950,489,0.05934
490,11600,490,0.05907
491,11840,491,0.06203
492,12680,492,0.06826
493,11870,493,0.06728
494,11070,494,0.06235
495,10070,495,0.05924
496,9140,496,0.05746
497,8920,497,0.05639
498,8710,498,0.05596
499,7250,499,0.05545
500,7080,500,0.05509
501,6600,501,0.0549
502,5690,502,0.05492
503,5360,503,0.05521
504,4700,504,0.0546
505,3900,505,0.05406
506,3580,506,0.05365
507,3280,507,0.05336
508,4100,508,0.05311
509,25610,509,0.05288
510,52240,510,0.05261
511,20860,511,0.05251
512,1920,512,0.05267
513,1390,513,0.05243
514,980,514,0.052
515,1060,515,0.05171
516,780,516,0.05139
517,810,517,0.0513
518,710,518,0.05107
519,460,519,0.05084
520,480,520,0.05055
521,540,521,0.0502
522,440,522,0.04999
523,400,523,0.04973
524,330,524,0.04938
525,410,525,0.04914
526,320,526,0.0489
527,300,527,0.04863
528,450,528,0.04851
529,290,529,0.04834
530,360,530,0.04774
531,400,531,0.04742
532,310,532,0.0472
533,240,533,0.04703
534,380,534,0.04678
535,340,535,0.04644
536,340,536,0.04609
537,230,537,0.04585
538,360,538,0.04537
539,470,539,0.04515
540,250,540,0.04504
541,360,541,0.045
542,290,542,0.04492
543,350,543,0.04451
544,280,544,0.04423
545,250,545,0.04394
546,350,546,0.0437
547,330,547,0.04338
548,270,548,0.04308
549,250,549,0.04268
550,270,550,0.04239
551,210,551,0.04212
552,330,552,0.04192
553,350,553,0.04167
554,330,554,0.04125
555,340,555,0.04093
556,260,556,0.04058
557,310,557,0.04029
558,260,558,0.040149
559,220,559,0.039825
560,300,560,0.039498
561,180,561,0.039226
562,220,562,0.03888
563,240,563,0.038536
564,230,564,0.03822
565,320,565,0.037999
566,390,566,0.037764
567,370,567,0.037557
568,280,568,0.0374
569,340,569,0.037197
570,220,570,0.036848
571,350,571,0.036559
572,380,572,0.03624
573,210,573,0.035961
574,340,574,0.035693
575,280,575,0.035505
576,300,576,0.035217
577,270,577,0.035001
578,360,578,0.034755
579,280,579,0.034567
580,220,580,0.034288
581,260,581,0.034074
582,300,582,0.033908
583,230,583,0.03375
584,310,584,0.033523
585,240,585,0.033236
586,260,586,0.032971
587,300,587,0.032683
588,290,588,0.032365
589,300,589,0.032033
590,290,590,0.031738
591,310,591,0.031337
592,310,592,0.030954
593,330,593,0.030613
594,260,594,0.030218
595,270,595,0.029838
596,250,596,0.029443
597,190,597,0.029131
598,280,598,0.028742
599,350,599,0.028421
600,280,600,0.028126
