A,S1
Wavelength,S1
nm,CPS
500,9750
501,10300
502,11530
503,11420
504,11850
505,11700
506,12020
507,12180
508,11770
509,12070
510,12290
511,12060
512,11820
513,11300
514,10260
515,10390
516,9770
517,9270
518,8600
519,8130
520,7510
521,8180
522,6520
523,6780
524,6340
525,5730
526,5950
527,5570
528,5550
529,5140
530,4400
531,4640
532,4510
533,4710
534,4180
535,4080
536,4210
537,4130
538,3760
539,3630
540,3560
541,3480
542,3360
543,3320
544,3230
545,3230
546,2990
547,2800
548,3040
549,2520
550,2460
551,2580
552,2560
553,2430
554,2390
555,1830
556,2100
557,1690
558,1830
559,1700
560,1490
561,1480
562,1440
563,1260
564,1510
565,1370
566,1330
567,1350
568,970
569,1070
570,980
571,800
572,770
573,990
574,850
575,850
576,980
577,810
578,900
579,700
580,770
581,920
582,660
583,730
584,870
585,570
586,740
587,740
588,730
589,720
590,420
591,790
592,560
593,630
594,500
595,460
596,400
597,580
598,480
599,530
600,600
