A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,2190,400,0.08119
401,2170,401,0.0803
402,2320,402,0.07985
403,2220,403,0.07971
404,2300,404,0.07974
405,2350,405,0.07991
406,2200,406,0.08001
407,2530,407,0.08024
408,2440,408,0.0806
409,2670,409,0.08084
410,2780,410,0.08055
411,2780,411,0.08113
412,2580,412,0.08135
413,2700,413,0.08068
414,2560,414,0.07992
415,2470,415,0.0795
416,2540,416,0.07937
417,2690,417,0.07946
418,3030,418,0.08068
419,3060,419,0.08356
420,2970,420,0.08296
421,3350,421,0.08069
422,3150,422,0.0795
423,3090,423,0.07871
424,3070,424,0.07861
425,3250,425,0.07844
426,3830,426,0.07812
427,3450,427,0.07793
428,3260,428,0.07767
429,3870,429,0.07735
430,3820,430,0.07713
431,3630,431,0.07693
432,4230,432,0.07674
433,4060,433,0.07663
434,3720,434,0.07662
435,3880,435,0.07655
436,4950,436,0.0768
437,4550,437,0.07756
438,4990,438,0.07926
439,5350,439,0.07969
440,5070,440,0.07745
441,5490,441,0.0768
442,5500,442,0.07685
443,5500,443,0.07612
444,5600,444,0.0756
445,6130,445,0.07533
446,6240,446,0.07478
447,6540,447,0.07423
448,6710,448,0.07486
449,7380,449,0.08267
450,8490,450,0.09191
451,7720,451,0.08104
452,8360,452,0.0838
453,7930,453,0.07675
454,8140,454,0.07537
455,8200,455,0.07613
456,8120,456,0.07826
457,9570,457,0.08075
458,9150,458,0.0799
459,9360,459,0.07705
460,9920,460,0.07806
461,10080,461,0.08257
462,10930,462,0.08708
463,10790,463,0.08349
464,10150,464,0.07854
465,11060,465,0.0794
466,12700,466,0.09062
467,14220,467,0.10294
468,13250,468,0.09533
469,12390,469,0.08577
470,11400,470,0.07906
471,11140,471,0.07357
472,11610,472,0.07723
473,13450,473,0.08699
474,12060,474,0.07329
475,10520,475,0.06554
476,10870,476,0.06331
477,9830,477,0.06198
478,10030,478,0.06146
479,10830,479,0.06261
480,11260,480,0.0673
481,12120,481,0.07156
482,12580,482,0.06951
483,12620,483,0.06883
484,11250,484,0.06623
485,10510,485,0.06301
486,10840,486,0.06047
487,10410,487,0.059
488,10290,488,0.05875
489,10540,489,0.05869
490,10330,490,0.05848
491,10460,491,0.06163
492,11680,492,0.0678
493,11260,493,0.06654
494,10280,494,0.06157
495,9710,495,0.05857
496,8660,496,0.05683
497,8050,497,0.05595
498,8040,498,0.05535
499,7790,499,0.05485
500,7040,500,0.05452
501,6750,501,0.0543
502,6830,502,0.05444
503,5840,503,0.05454
504,5260,504,0.05399
505,4600,505,0.05338
506,4680,506,0.05306
507,3830,507,0.0528
508,5580,508,0.05253
509,35950,509,0.05229
510,69940,510,0.05214
511,25310,511,0.05203
512,2210,512,0.0522
513,1650,513,0.05191
514,1370,514,0.05142
515,1230,515,0.05112
516,860,516,0.05091
517,870,517,0.05072
518,680,518,0.0505
519,820,519,0.05029
520,620,520,0.05002
521,560,521,0.04968
522,520,522,0.04944
523,500,523,0.04924
524,410,524,0.04888
525,420,525,0.0486
526,400,526,0.04843
527,450,527,0.04811
528,430,528,0.04802
529,390,529,0.04782
530,290,530,0.04722
531,410,531,0.04697
532,360,532,0.04668
533,260,533,0.04651
534,350,534,0.0463
535,350,535,0.04593
536,310,536,0.04571
537,240,537,0.04534
538,390,538,0.04495
539,310,539,0.04477
540,330,540,0.04459
541,380,541,0.04462
542,310,542,0.04439
543,390,543,0.04408
544,350,544,0.04374
545,270,545,0.04351
546,260,546,0.04322
547,290,547,0.04294
548,380,548,0.04261
549,250,549,0.04228
550,300,550,0.04203
551,220,551,0.04168
552,280,552,0.04157
553,360,553,0.04125
554,330,554,0.04088
555,240,555,0.04056
556,340,556,0.04021
557,410,557,0.040109
558,360,558,0.039761
559,360,559,0.039417
560,240,560,0.03916
561,310,561,0.038806
562,330,562,0.038552
563,310,563,0.038263
564,280,564,0.037995
565,300,565,0.037774
566,210,566,0.037513
567,280,567,0.037289
568,280,568,0.037117
569,280,569,0.036914
570,330,570,0.036602
571,350,571,0.036276
572,230,572,0.035954
573,290,573,0.035669
574,290,574,0.03546
575,280,575,0.035204
576,350,576,0.03497
577,300,577,0.034692
578,370,578,0.034474
579,390,579,0.034283
580,180,580,0.034021
581,240,581,0.033762
582,290,582,0.033603
583,320,583,0.033448
584,330,584,0.033218
585,260,585,0.032959
586,390,586,0.03271
587,300,587,0.032408
588,380,588,0.032113
589,260,589,0.031777
590,200,590,0.031448
591,220,591,0.0311
592,250,592,0.030677
593,290,593,0.030306
594,280,594,0.029988
595,340,595,0.029563
596,350,596,0.029244
597,330,597,0.028883
598,250,598,0.02856
599,340,599,0.028244
600,270,600,0.027872
