Wavelength_nm,2026-08-02 · calibration,2026-08-02 · blank,2026-08-02 · 0.05,2026-08-02 · 0.2,2026-08-02 · 0.4,2026-08-02 · 4,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 2,2026-08-05 · 4 · rep 1,2026-08-05 · 4 · rep 2
365,12796.666666666666,,,,,,,,,,
366,12715.714285714286,,,,,,,,,,
367,12738.75,,,,,,,,,,
368,12645.555555555555,,,,,,,,,,
369,12522,,,,,,,,,,
370,12446.363636363636,,,,,,,,,,
371,12121.818181818182,,,,,,,,,,
372,11973.636363636364,,,,,,,,,,
373,11672.727272727272,,,,,,,,,,
374,11420,,,,,,,,,,
375,11223.636363636364,,,,,,,,,,
376,11089.09090909091,,,,,,,,,,
377,10917.272727272728,,,,,,,,,,
378,10706.363636363636,,,,,,,,,,
379,10817.272727272728,,,,,,,,,,
380,11314.545454545454,,,,,,270,,,,
381,12387.272727272728,,,,,,274.2857142857143,,,,
382,14610.90909090909,,,,,,273.75,,,,
383,18079.090909090908,,,,,,268.8888888888889,,,,
384,23688.18181818182,,,,,,263,,,,
385,31523.636363636364,,,,,,270.90909090909093,,,,
386,42186.36363636364,,,,,,264.54545454545456,,,,
387,55725.454545454544,,,,,,269.09090909090907,,,,
388,71852.72727272728,,,,,,263.6363636363636,,,,
389,91000.90909090909,,,,,,259.09090909090907,,,,
390,111455.45454545454,,,,,,266.3636363636364,,,,
391,133310,,,,,,271.8181818181818,,,,
392,154712.72727272726,,,,,,260,,,,
393,174473.63636363635,,,,,,266.3636363636364,,,,
394,191771.81818181818,,,,,,273.6363636363636,,,,
395,205140,,,,,,282.72727272727275,,,,
396,213649.0909090909,,,,,,282.72727272727275,,,,
397,216997.27272727274,,,,,,288.1818181818182,,,,
398,214699.0909090909,,,,,,279.09090909090907,,,,
399,207308.18181818182,,,,,,280,,,,
400,194484.54545454544,,,,,,277.27272727272725,,,,
401,177976.36363636365,,,,,,280,,,,
402,158340.9090909091,,,,,,261.8181818181818,,,,
403,137366.36363636365,,,,,,270,,,,
404,116371.81818181818,,,,,,262.72727272727275,,,,
405,96123.63636363637,,,,,,250.9090909090909,,,,
406,77470.90909090909,,,,,,244.54545454545453,,,,
407,61289.09090909091,,,,,,234.54545454545453,,,,
408,47325.454545454544,,,,,,238.1818181818182,,,,
409,36111.818181818184,,,,,,237.27272727272728,,,,
410,27303.636363636364,,,,,,231.8181818181818,,,,
411,20829.090909090908,,,,,,241.8181818181818,,,,
412,16503.636363636364,,,,,,243.63636363636363,,,,
413,13486.363636363636,,,,,,255.45454545454547,,,,
414,11656.363636363636,,,,,,262.72727272727275,,,,
415,10418.181818181818,,,,,,260.90909090909093,,,,
416,9635.454545454546,,,,,,264.54545454545456,,,,
417,9081.818181818182,,,,,,262.72727272727275,,,,
418,8727.272727272728,,,,,,260.90909090909093,,,,
