system,tag,clamp_pN,replicate,ns,chromo.n_frames,chromo.dihedrals.tau_phenol_bridge.circular_mean_deg,chromo.dihedrals.tau_phenol_bridge.circular_sd_deg,chromo.dihedrals.tau_phenol_bridge.twist_mean_deg,chromo.dihedrals.tau_phenol_bridge.twist_sd_deg,chromo.dihedrals.tau_phenol_bridge.twist_p95_deg,chromo.dihedrals.phi_bridge_imidazolinone.circular_mean_deg,chromo.dihedrals.phi_bridge_imidazolinone.circular_sd_deg,chromo.dihedrals.phi_bridge_imidazolinone.twist_mean_deg,chromo.dihedrals.phi_bridge_imidazolinone.twist_sd_deg,chromo.dihedrals.phi_bridge_imidazolinone.twist_p95_deg,chromo.hbonds.His148 ND1-H -> chromophore phenolate.heavy_mean_A,chromo.hbonds.His148 ND1-H -> chromophore phenolate.heavy_sd_A,chromo.hbonds.His148 ND1-H -> chromophore phenolate.H_acceptor_mean_A,chromo.hbonds.His148 ND1-H -> chromophore phenolate.H_acceptor_sd_A,chromo.hbonds.His148 ND1-H -> chromophore phenolate.DHA_angle_mean_deg,chromo.hbonds.His148 ND1-H -> chromophore phenolate.occupancy,chromo.hbonds.His148 ND1-H -> chromophore phenolate.criterion,chromo.hbonds.Thr203 OG1-H -> chromophore phenolate.heavy_mean_A,chromo.hbonds.Thr203 OG1-H -> chromophore phenolate.heavy_sd_A,chromo.hbonds.Thr203 OG1-H -> chromophore phenolate.H_acceptor_mean_A,chromo.hbonds.Thr203 OG1-H -> chromophore phenolate.H_acceptor_sd_A,chromo.hbonds.Thr203 OG1-H -> chromophore phenolate.DHA_angle_mean_deg,chromo.hbonds.Thr203 OG1-H -> chromophore phenolate.occupancy,chromo.hbonds.Thr203 OG1-H -> chromophore phenolate.criterion,chromo.hbonds.Arg96 NH2-H -> imidazolinone O2.heavy_mean_A,chromo.hbonds.Arg96 NH2-H -> imidazolinone O2.heavy_sd_A,chromo.hbonds.Arg96 NH2-H -> imidazolinone O2.H_acceptor_mean_A,chromo.hbonds.Arg96 NH2-H -> imidazolinone O2.H_acceptor_sd_A,chromo.hbonds.Arg96 NH2-H -> imidazolinone O2.DHA_angle_mean_deg,chromo.hbonds.Arg96 NH2-H -> imidazolinone O2.occupancy,chromo.hbonds.Arg96 NH2-H -> imidazolinone O2.criterion,chromo.hbonds.Gln94 NE2-H -> imidazolinone O2.heavy_mean_A,chromo.hbonds.Gln94 NE2-H -> imidazolinone O2.heavy_sd_A,chromo.hbonds.Gln94 NE2-H -> imidazolinone O2.H_acceptor_mean_A,chromo.hbonds.Gln94 NE2-H -> imidazolinone O2.H_acceptor_sd_A,chromo.hbonds.Gln94 NE2-H -> imidazolinone O2.DHA_angle_mean_deg,chromo.hbonds.Gln94 NE2-H -> imidazolinone O2.occupancy,chromo.hbonds.Gln94 NE2-H -> imidazolinone O2.criterion,chromo.hbonds.Ser205 OG-H -> Glu222 OE1.heavy_mean_A,chromo.hbonds.Ser205 OG-H -> Glu222 OE1.heavy_sd_A,chromo.hbonds.Ser205 OG-H -> Glu222 OE1.H_acceptor_mean_A,chromo.hbonds.Ser205 OG-H -> Glu222 OE1.H_acceptor_sd_A,chromo.hbonds.Ser205 OG-H -> Glu222 OE1.DHA_angle_mean_deg,chromo.hbonds.Ser205 OG-H -> Glu222 OE1.occupancy,chromo.hbonds.Ser205 OG-H -> Glu222 OE1.criterion,chromo.hbonds.chromophore OG1-H -> Glu222 OE2.heavy_mean_A,chromo.hbonds.chromophore OG1-H -> Glu222 OE2.heavy_sd_A,chromo.hbonds.chromophore OG1-H -> Glu222 OE2.H_acceptor_mean_A,chromo.hbonds.chromophore OG1-H -> Glu222 OE2.H_acceptor_sd_A,chromo.hbonds.chromophore OG1-H -> Glu222 OE2.DHA_angle_mean_deg,chromo.hbonds.chromophore OG1-H -> Glu222 OE2.occupancy,chromo.hbonds.chromophore OG1-H -> Glu222 OE2.criterion,chromo.hbonds.His148 NE2 <- Arg168 backbone NH.heavy_mean_A,chromo.hbonds.His148 NE2 <- Arg168 backbone NH.heavy_sd_A,chromo.hbonds.His148 NE2 <- Arg168 backbone NH.H_acceptor_mean_A,chromo.hbonds.His148 NE2 <- Arg168 backbone NH.H_acceptor_sd_A,chromo.hbonds.His148 NE2 <- Arg168 backbone NH.DHA_angle_mean_deg,chromo.hbonds.His148 NE2 <- Arg168 backbone NH.occupancy,chromo.hbonds.His148 NE2 <- Arg168 backbone NH.criterion,chromo.waters_within_5A_mean,mech.n_frames,mech.clamp_pN,mech.anchor_CB_CB_A.mean,mech.anchor_CB_CB_A.sd,mech.anchor_CB_CB_A.sem,barrel.n_frames,barrel.rmsf_A.mean,barrel.rmsf_A.max,barrel.rmsf_A.at_sites.133,barrel.rmsf_A.at_sites.149,barrel.sheet_register.N134-O131.mean_A,barrel.sheet_register.N134-O131.sd_A,barrel.sheet_register.N134-O131.occupancy_below_3.5A,barrel.sheet_register.N138-O134.mean_A,barrel.sheet_register.N138-O134.sd_A,barrel.sheet_register.N138-O134.occupancy_below_3.5A,barrel.sheet_register.N139-O135.mean_A,barrel.sheet_register.N139-O135.sd_A,barrel.sheet_register.N139-O135.occupancy_below_3.5A,barrel.sheet_register.N139-O136.mean_A,barrel.sheet_register.N139-O136.sd_A,barrel.sheet_register.N139-O136.occupancy_below_3.5A,barrel.sheet_register.N140-O135.mean_A,barrel.sheet_register.N140-O135.sd_A,barrel.sheet_register.N140-O135.occupancy_below_3.5A,barrel.sheet_register.N142-O170.mean_A,barrel.sheet_register.N142-O170.sd_A,barrel.sheet_register.N142-O170.occupancy_below_3.5A,barrel.sheet_register.N148-O203.mean_A,barrel.sheet_register.N148-O203.sd_A,barrel.sheet_register.N148-O203.occupancy_below_3.5A,barrel.sheet_register.N150-O201.mean_A,barrel.sheet_register.N150-O201.sd_A,barrel.sheet_register.N150-O201.occupancy_below_3.5A,barrel.sheet_register.N152-O199.mean_A,barrel.sheet_register.N152-O199.sd_A,barrel.sheet_register.N152-O199.occupancy_below_3.5A,barrel.sheet_register.N153-O162.mean_A,barrel.sheet_register.N153-O162.sd_A,barrel.sheet_register.N153-O162.occupancy_below_3.5A,barrel.cavity_water.cutoff_A,barrel.cavity_water.mean,barrel.cavity_water.sd,barrel.sheet_register.N151-O164.mean_A,barrel.sheet_register.N151-O164.sd_A,barrel.sheet_register.N151-O164.occupancy_below_3.5A,barrel.sheet_register.N141-O135.mean_A,barrel.sheet_register.N141-O135.sd_A,barrel.sheet_register.N141-O135.occupancy_below_3.5A,mech.spring.n_bp,mech.spring.tau_c_pN_nm,mech.spring.nicked,mech.spring.contour_nm,mech.spring.x_mean_A,mech.spring.x_sd_A,mech.spring.force_pN_mean,mech.spring.force_pN_sd,mech.spring.energy_kT_mean,mech.spring.regime,mech.bend.axis_smoothing_window_bp,mech.bend.per_step_mean_deg,mech.bend.per_step_max_mean_deg,mech.bend.hottest_bp,mech.bend.total_bend_deg_mean,mech.bend.total_bend_deg_sd,mech.bend.note,mech.base_pair_opening.criterion,mech.base_pair_opening.most_open_bp,mech.base_pair_opening.mean_open_count
S0_wt,S0_wt,,rep1,25.0,249,179.793,7.541,5.967,4.617,14.773,-0.118,8.346,6.602,5.106,17.002,3.288,0.503,2.432,0.643,147.12,0.6827,H...A < 2.5 A and D-H...A > 120.0 deg,2.804,0.183,1.904,0.262,160.43,0.9398,H...A < 2.5 A and D-H...A > 120.0 deg,2.772,0.093,1.802,0.107,162.46,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.899,0.125,1.99,0.143,150.17,0.996,H...A < 2.5 A and D-H...A > 120.0 deg,3.084,0.698,2.311,0.937,145.64,0.7631,H...A < 2.5 A and D-H...A > 120.0 deg,8.748,0.649,8.949,0.943,73.73,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.154,0.194,2.192,0.199,160.96,0.9398,H...A < 2.5 A and D-H...A > 120.0 deg,6.004,249,,32.072,0.482,0.0306,249,0.631,6.73,0.925,0.488,3.365,0.26,0.7349,2.954,0.194,0.9839,3.664,0.287,0.3012,3.137,0.247,0.9237,3.025,0.217,0.9679,2.93,0.135,1.0,3.297,0.295,0.7871,2.923,0.143,0.996,2.9,0.135,1.0,2.977,0.128,1.0,6.0,7.221,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_wt,S0_wt,,rep2,24.8,249,178.915,5.705,4.73,3.37,11.07,0.896,8.052,6.544,4.777,16.135,3.082,0.339,2.158,0.416,155.43,0.8795,H...A < 2.5 A and D-H...A > 120.0 deg,2.823,0.189,1.929,0.26,158.75,0.9317,H...A < 2.5 A and D-H...A > 120.0 deg,2.783,0.094,1.813,0.103,162.55,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.934,0.153,2.019,0.171,151.48,0.9839,H...A < 2.5 A and D-H...A > 120.0 deg,4.326,0.425,3.614,0.542,136.18,0.0161,H...A < 2.5 A and D-H...A > 120.0 deg,7.451,0.706,7.555,0.987,79.76,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.064,0.149,2.092,0.168,163.57,0.9759,H...A < 2.5 A and D-H...A > 120.0 deg,6.004,249,,32.484,0.477,0.0302,249,0.663,12.162,1.186,0.46,3.124,0.23,0.9277,2.991,0.236,0.9518,3.779,0.327,0.2088,3.049,0.178,0.988,3.067,0.214,0.9438,2.907,0.133,1.0,3.27,0.265,0.8153,2.932,0.174,0.992,2.953,0.162,0.992,2.975,0.142,1.0,6.0,7.185,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_wt,S0_wt,,rep3,25.0,249,179.14,7.085,5.921,3.981,13.872,-0.596,8.111,6.52,4.859,15.8,3.377,0.513,2.581,0.668,139.8,0.5863,H...A < 2.5 A and D-H...A > 120.0 deg,2.784,0.169,1.863,0.212,163.42,0.9719,H...A < 2.5 A and D-H...A > 120.0 deg,2.773,0.095,1.799,0.106,163.03,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.926,0.158,2.017,0.18,150.97,0.9759,H...A < 2.5 A and D-H...A > 120.0 deg,4.238,0.319,3.476,0.282,139.97,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,7.375,0.601,7.494,0.846,78.86,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.198,0.216,2.237,0.23,160.74,0.8635,H...A < 2.5 A and D-H...A > 120.0 deg,5.478,249,,32.133,0.459,0.0291,249,0.657,13.084,1.223,0.485,3.18,0.238,0.8956,3.012,0.211,0.9598,,,,3.169,0.358,0.8956,3.221,0.569,0.8675,2.926,0.138,0.996,3.387,0.344,0.6627,2.96,0.237,0.9598,2.912,0.146,0.992,2.982,0.135,1.0,6.0,6.614,1.099,3.875,0.604,0.2892,,,,,,,,,,,,,,,,,,,,,,,
S1_tet,S1_tet,,rep1,5.4,56,178.119,5.442,4.318,3.811,12.976,0.783,7.008,5.489,4.426,14.161,3.118,0.327,2.22,0.413,150.75,0.8393,H...A < 2.5 A and D-H...A > 120.0 deg,2.794,0.157,1.888,0.203,160.13,0.9821,H...A < 2.5 A and D-H...A > 120.0 deg,2.795,0.092,1.821,0.1,163.79,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.941,0.158,2.023,0.165,151.5,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,4.372,0.304,3.646,0.38,136.59,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,7.613,0.453,7.808,0.773,73.66,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.202,0.177,2.24,0.189,160.81,0.875,H...A < 2.5 A and D-H...A > 120.0 deg,6.018,56,,31.514,0.477,0.0637,56,0.525,3.283,0.733,0.507,3.356,0.25,0.6964,2.993,0.179,1.0,,,,,,,3.072,0.153,1.0,2.966,0.179,0.9821,,,,2.946,0.13,1.0,2.903,0.131,1.0,3.003,0.148,1.0,6.0,6.982,0.813,3.807,0.587,0.375,,,,,,,,,,,,,,,,,,,,,,,
S1_tet,S1_tet,,rep2,5.4,55,178.762,5.577,4.536,3.473,11.299,-0.309,7.156,5.952,3.977,12.343,3.118,0.369,2.235,0.463,148.48,0.8364,H...A < 2.5 A and D-H...A > 120.0 deg,2.774,0.146,1.846,0.164,164.83,0.9818,H...A < 2.5 A and D-H...A > 120.0 deg,2.773,0.074,1.793,0.085,164.52,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.956,0.201,2.04,0.204,151.01,0.9636,H...A < 2.5 A and D-H...A > 120.0 deg,3.96,0.769,3.265,1.045,137.69,0.2182,H...A < 2.5 A and D-H...A > 120.0 deg,6.757,1.638,6.745,2.057,87.38,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.327,0.246,2.358,0.249,161.71,0.7636,H...A < 2.5 A and D-H...A > 120.0 deg,6.0,55,,31.485,0.418,0.0564,55,0.583,5.083,0.775,0.467,3.274,0.255,0.8,3.044,0.213,0.9636,,,,3.179,0.218,0.9273,3.011,0.154,1.0,3.0,0.146,1.0,,,,2.938,0.107,1.0,2.926,0.121,1.0,3.017,0.143,1.0,6.0,7.055,0.923,,,,3.939,0.277,0.0364,,,,,,,,,,,,,,,,,,,,
S1_tet,S1_tet,,rep3,5.4,55,179.108,6.465,5.439,3.604,11.431,0.389,7.68,6.344,4.34,14.158,3.155,0.438,2.282,0.602,150.33,0.8,H...A < 2.5 A and D-H...A > 120.0 deg,2.86,0.273,1.967,0.354,159.67,0.9273,H...A < 2.5 A and D-H...A > 120.0 deg,2.793,0.09,1.817,0.094,163.61,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.925,0.177,2.033,0.21,147.54,0.9455,H...A < 2.5 A and D-H...A > 120.0 deg,2.715,0.133,1.801,0.149,159.88,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,8.483,1.285,8.481,1.515,86.96,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.11,0.154,2.163,0.177,158.17,0.9636,H...A < 2.5 A and D-H...A > 120.0 deg,6.0,56,,31.387,0.404,0.054,56,0.511,3.413,0.655,0.528,3.112,0.194,0.9643,,,,3.695,0.364,0.3929,3.101,0.177,0.9821,3.084,0.206,0.9821,2.855,0.112,1.0,3.347,0.322,0.7143,2.957,0.153,1.0,2.931,0.131,1.0,2.949,0.109,1.0,6.0,7.339,0.931,3.822,0.533,0.2857,,,,,,,,,,,,,,,,,,,,,,,
S3_spring27,S3_spring27,,rep1,1.4,15,179.383,6.443,5.066,4.026,11.629,1.994,7.879,6.593,4.743,13.561,2.98,0.295,2.092,0.351,147.97,0.8667,H...A < 2.5 A and D-H...A > 120.0 deg,2.792,0.072,1.878,0.08,161.44,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.768,0.082,1.787,0.109,165.43,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.877,0.153,1.933,0.151,155.16,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.016,0.612,2.146,0.653,154.02,0.8,H...A < 2.5 A and D-H...A > 120.0 deg,4.542,1.31,4.013,1.559,120.27,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.215,0.223,2.252,0.226,160.61,0.9333,H...A < 2.5 A and D-H...A > 120.0 deg,6.0,15,,32.263,0.491,0.1267,15,0.496,2.274,1.271,0.482,,,,2.915,0.16,1.0,3.5,0.33,0.6,2.986,0.153,1.0,3.041,0.199,1.0,2.978,0.171,1.0,3.196,0.351,0.8667,2.944,0.123,1.0,2.93,0.124,1.0,3.005,0.148,1.0,6.0,7.333,1.445,,,,3.773,0.333,0.2,27.0,34.0,False,8.91,59.6,1.4,5.198,0.104,6.736,kinked,9.0,5.97,14.138,15.0,72.31,4.7,"total_bend covers only the interior span the smoothing window leaves, so it is smaller than the arc the duplex was built with by roughly the fraction of base pairs trimmed",mean WC donor-acceptor distance > 4.0 A,16.0,0.533
S3_spring27,S3_spring27,,rep2,1.2,11,-179.98,6.93,5.476,4.242,11.869,-1.274,7.47,7.301,1.99,9.256,3.395,0.509,2.629,0.689,137.98,0.5455,H...A < 2.5 A and D-H...A > 120.0 deg,2.73,0.122,1.813,0.182,162.12,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.793,0.123,1.818,0.165,164.3,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.9,0.21,2.015,0.216,146.03,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,2.65,0.078,1.728,0.109,161.95,1.0,H...A < 2.5 A and D-H...A > 120.0 deg,8.307,1.411,8.203,1.655,93.8,0.0,H...A < 2.5 A and D-H...A > 120.0 deg,3.195,0.236,2.281,0.243,151.48,0.8182,H...A < 2.5 A and D-H...A > 120.0 deg,6.0,11,,31.946,0.303,0.0915,11,0.468,2.144,0.731,0.399,3.062,0.179,1.0,2.979,0.245,0.9091,,,,3.195,0.451,0.7273,3.016,0.16,1.0,2.907,0.087,1.0,3.252,0.269,0.9091,2.926,0.137,1.0,2.89,0.124,1.0,2.971,0.131,1.0,6.0,7.364,0.771,,,,,,,27.0,34.0,False,8.91,60.73,2.08,5.288,0.159,6.593,kinked,9.0,5.592,10.467,16.0,72.92,8.94,"total_bend covers only the interior span the smoothing window leaves, so it is smaller than the arc the duplex was built with by roughly the fraction of base pairs trimmed",mean WC donor-acceptor distance > 4.0 A,14.0,0.091
